ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2014,"2014","5413","Architectural, engineering & related services","true","true",1986,67841.65760322256,32840.40062871055,1094.1105761236888,97,"Parks, Recreation, & Leisure","31"
2014,"2014","5415","Computer Systems Design","true","true",3214,75293.63690105788,22669.17305600211,1391.8504477042145,157,"Parks, Recreation, & Leisure","31"
2014,"2014","6111","Elementary & secondary schools","true","true",51750,46116.600657004834,2562.370442157162,5584.026356348519,2705,"Parks, Recreation, & Leisure","31"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",29142,42544.95820465308,4751.062324668677,4190.713726102914,1375,"Parks, Recreation, & Leisure","31"
2020,"2020","23","Construction","true","true",39305,73107.0605520926,8620.842229994281,4866.772791625912,1752,"Communications","09"
2020,"2020","5413","Architectural, engineering & related services","true","true",16733,75297.73029343213,10453.558768741512,3175.683040703461,821,"Communications","09"
2020,"2020","5415","Computer Systems Design","true","true",80324,107199.91874159653,7824.507020740657,6956.322688161975,3737,"Communications","09"
2020,"2020","6111","Elementary & secondary schools","true","true",168086,51880.80015587259,2074.13238900746,10059.911317936037,8255,"Communications","09"
2020,"2020","611M1","Colleges, universities & professional schools, including junior colleges","true","true",129792,59169.98951399162,3039.7800395097784,8841.144702937929,6390,"Communications","09"
2019,"2019","23","Construction","true","true",35913,69156.07985966085,8376.46287381404,4652.085764931934,1657,"Communications","09"
2019,"2019","5413","Architectural, engineering & related services","true","true",15850,77283.78719242902,11529.796405519284,3090.7654679177163,815,"Communications","09"
2019,"2019","5415","Computer Systems Design","true","true",71395,105258.17897611878,8340.222332748295,6558.484587329665,3493,"Communications","09"
2019,"2019","6111","Elementary & secondary schools","true","true",160216,50715.136971338696,2060.0985780831415,9821.812815626266,8258,"Communications","09"
2019,"2019","611M1","Colleges, universities & professional schools, including junior colleges","true","true",127687,57683.71217900021,3081.9213585331554,8769.200469610925,6482,"Communications","09"
2018,"2018","23","Construction","true","true",32220,68910.11433891993,9253.539604235302,4406.45545143429,1479,"Communications","09"
2018,"2018","5413","Architectural, engineering & related services","true","true",16119,76011.19163719834,10951.535951280983,3116.8774199240434,800,"Communications","09"
2018,"2018","5415","Computer Systems Design","true","true",61937,100109.57952435539,8452.082435102551,6108.819406614032,3004,"Communications","09"
2018,"2018","6111","Elementary & secondary schools","true","true",155102,49525.93323748243,2007.0609248942767,9663.881757392248,7998,"Communications","09"
2018,"2018","611M1","Colleges, universities & professional schools, including junior colleges","true","true",122026,56644.50299936079,3117.688911494173,8572.718432901169,6177,"Communications","09"
2017,"2017","23","Construction","true","true",29416,65231.39699483274,8474.486472465815,4210.386711789774,1368,"Communications","09"
2017,"2017","5413","Architectural, engineering & related services","true","true",14977,71884.44107631702,10610.778760154484,3004.4465116385954,749,"Communications","09"
2017,"2017","5415","Computer Systems Design","true","true",55034,95346.41596104226,8620.862704936704,5758.467041034455,2671,"Communications","09"
2017,"2017","6111","Elementary & secondary schools","true","true",148392,48158.855848024155,1978.7181098386613,9452.681334658455,7685,"Communications","09"
2017,"2017","611M1","Colleges, universities & professional schools, including junior colleges","true","true",119248,54404.2075758084,2993.48428521989,8474.606278006684,6041,"Communications","09"
